,report_date,report_source,ext_massacres_cum,killed,killed_cum,ext_killed,ext_killed_cum,ext_killed_children_cum,ext_killed_women_cum,injured_cum,ext_injured,ext_injured_cum,ext_civdef_killed_cum,med_killed_cum,ext_med_killed_cum,press_killed_cum,ext_press_killed_cum,killed_children_cum,killed_women_cum,injured,massacres_cum,civdef_killed_cum
134,2024-02-18,mohtel,2525,127.0,28985.0,127,28985,12660,8570,68883.0,206,68883,46,,340,,130,,,206.0,,
135,2024-02-19,mohtel,2534,107.0,29092.0,107,29092,12660,8570,69028.0,145,69028,46,,340,,130,,,145.0,,
136,2024-02-20,mohtel,2543,103.0,29195.0,103,29195,12660,8570,69170.0,142,69170,46,,340,,130,,,142.0,,
137,2024-02-21,mohtel,2554,118.0,29313.0,118,29313,12660,8570,69333.0,163,69333,46,,340,,130,,,163.0,,
138,2024-02-22,mohtel,2563,97.0,29410.0,97,29410,12660,8570,69465.0,132,69465,46,,340,,130,,,132.0,,
139,2024-02-23,mohtel,2573,104.0,29514.0,104,29514,13000,8800,69616.0,151,69616,47,340.0,340,132.0,132,13000.0,8800.0,151.0,2573.0,47.0
140,2024-02-24,mohtel,2581,92.0,29606.0,92,29606,13000,8800,69737.0,121,69737,47,,340,,132,,,121.0,,
141,2024-02-25,mohtel,2589,86.0,29692.0,86,29692,13000,8800,69879.0,142,69879,47,,340,,132,,,142.0,,
142,2024-02-26,mohtel,2599,90.0,29782.0,90,29782,13000,8800,70043.0,164,70043,47,,340,,132,,,164.0,,
143,2024-02-27,mohtel,2610,96.0,29878.0,96,29878,13000,8800,70215.0,172,70215,47,,340,,132,,,172.0,,
144,2024-02-28,mohtel,2618,76.0,29954.0,76,29954,13000,8800,70325.0,110,70325,47,,340,,132,,,110.0,,
145,2024-02-29,mohtel,2627,81.0,30035.0,81,30035,13230,8860,70457.0,132,70457,47,340.0,340,132.0,132,13230.0,8860.0,132.0,2627.0,47.0
146,2024-03-01,mohtel,2643,193.0,30228.0,193,30228,13230,8860,71377.0,920,71377,47,,340,,132,,,920.0,,
147,2024-03-02,mohtel,2653,92.0,30320.0,92,30320,13230,8860,71533.0,156,71533,47,,340,,132,,,156.0,,
148,2024-03-03,mohtel,2662,90.0,30410.0,90,30410,13230,8860,71710.0,177,71710,47,342.0,342,,132,,,177.0,,
149,2024-03-04,mohtel,2675,124.0,30534.0,124,30534,13430,8900,71920.0,210,71920,48,364.0,364,132.0,132,13430.0,8900.0,210.0,,48.0
150,2024-03-05,mohtel,2685,97.0,30631.0,97,30631,13430,8900,72043.0,123,72043,48,,364,,132,,,123.0,,
151,2024-03-06,mohtel,2694,86.0,30717.0,86,30717,13430,8900,72156.0,113,72156,48,,364,133.0,133,,,113.0,,
152,2024-03-07,mohtel,2703,83.0,30800.0,83,30800,13430,8900,72298.0,142,72298,48,,364,,133,,,142.0,,
153,2024-03-08,mohtel,2711,78.0,30878.0,78,30878,13430,8900,72402.0,104,72402,48,,364,,133,,,104.0,,
154,2024-03-09,mohtel,2713,82.0,30960.0,82,30960,13500,9000,72524.0,122,72524,48,364.0,364,133.0,133,13500.0,9000.0,122.0,,48.0
155,2024-03-10,mohtel,2721,85.0,31045.0,85,31045,13500,9000,72654.0,130,72654,48,,364,,133,,,130.0,2721.0,
156,2024-03-11,mohtel,2728,67.0,31112.0,67,31112,13500,9000,72760.0,106,72760,48,,364,,133,,,106.0,,
157,2024-03-12,mohtel,2736,72.0,31184.0,72,31184,13500,9000,72889.0,129,72889,48,,364,,133,,,129.0,,
158,2024-03-13,mohtel,2746,88.0,31272.0,88,31272,13500,9000,73024.0,135,73024,48,,364,,133,,,135.0,,
159,2024-03-14,mohtel,2761,69.0,31341.0,69,31341,13790,9100,73134.0,110,73134,48,364.0,364,133.0,133,13790.0,9100.0,110.0,2761.0,48.0
160,2024-03-15,mohtel,2774,149.0,31490.0,149,31490,13790,9100,73434.0,300,73434,48,,364,,133,,,300.0,,
161,2024-03-16,mohtel,2781,63.0,31553.0,63,31553,13790,9100,73546.0,112,73546,48,,364,,133,,,112.0,,
162,2024-03-17,mohtel,2790,92.0,31645.0,92,31645,13790,9100,73676.0,130,73676,48,,364,,133,,,130.0,,
163,2024-03-18,mohtel,2798,81.0,31726.0,81,31726,13790,9100,73792.0,116,73792,48,,364,,133,,,116.0,,
164,2024-03-19,mohtel,2807,93.0,31819.0,93,31819,14000,9220,73934.0,142,73934,48,364.0,364,135.0,135,14000.0,9220.0,142.0,2807.0,48.0
165,2024-03-20,mohtel,2817,104.0,31923.0,104,31923,14000,9220,74096.0,162,74096,48,,364,,135,,,162.0,,
166,2024-03-21,mohtel,2824,65.0,31988.0,65,31988,14000,9220,74188.0,92,74188,48,,364,,135,,,92.0,,
167,2024-03-22,mohtel,2833,82.0,32070.0,82,32070,14000,9220,74298.0,110,74298,48,,364,,135,,,110.0,,
168,2024-03-23,mohtel,2840,72.0,32142.0,72,32142,14000,9220,74412.0,114,74412,48,,364,,135,,,114.0,,
169,2024-03-24,mohtel,2848,84.0,32226.0,84,32226,14280,9340,74518.0,106,74518,48,364.0,364,136.0,136,14280.0,9340.0,106.0,2848.0,48.0
170,2024-03-25,mohtel,2859,107.0,32333.0,107,32333,14280,9340,74694.0,176,74694,48,,364,,136,,,176.0,,
171,2024-03-26,mohtel,2867,81.0,32414.0,81,32414,14280,9340,74787.0,93,74787,48,,364,,136,,,93.0,,
172,2024-03-27,mohtel,2875,76.0,32490.0,76,32490,14280,9340,74889.0,102,74889,48,,364,,136,,,102.0,,
173,2024-03-28,mohtel,2881,62.0,32552.0,62,32552,14280,9340,74980.0,91,74980,48,,364,,136,,,91.0,,
174,2024-03-29,mohtel,2888,71.0,32623.0,71,32623,14350,9460,75092.0,112,75092,48,364.0,364,136.0,136,14350.0,9460.0,112.0,2888.0,48.0
175,2024-03-30,mohtel,2896,82.0,32705.0,82,32705,14350,9460,75190.0,98,75190,48,,364,,136,,,98.0,,
176,2024-03-31,mohtel,2904,77.0,32782.0,77,32782,14350,9460,75298.0,108,75298,48,,364,137.0,137,,,108.0,,
177,2024-04-01,mohtel,2910,63.0,32845.0,63,32845,14350,9460,75392.0,94,75392,48,,364,138.0,138,,,94.0,,
178,2024-04-02,mohtel,2917,71.0,32916.0,71,32916,14350,9460,75494.0,102,75494,48,,364,,138,,,102.0,,
